Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,19.25,38.0,10.0,"[10.0, 38.0]"
3,44.5,62.0,27.0,"[27.0, 62.0]"
4,41.857,138.0,8.0,"[8.0, 138.0]"
5,28.0,57.0,10.0,"[10.0, 57.0]"
6,21.429,36.0,13.0,"[13.0, 36.0]"
7,32.25,40.0,17.0,"[17.0, 40.0]"
8,23.2,44.0,15.0,"[15.0, 44.0]"
9,26.333,30.0,21.0,"[21.0, 30.0]"
