Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.488,1.03,0.0,"[0.0, 1.03]"
3,1.09,1.27,0.91,"[0.91, 1.27]"
4,0.747,2.33,0.0,"[0.0, 2.33]"
5,0.547,1.34,0.0,"[0.0, 1.34]"
6,0.337,0.81,0.0,"[0.0, 0.81]"
7,0.07,0.28,0.0,"[0.0, 0.28]"
8,0.316,0.77,0.0,"[0.0, 0.77]"
9,0.0,0.0,0.0,"[0.0, 0.0]"
