Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.125,2.06,0.37,"[0.37, 2.06]"
3,1.68,2.72,0.64,"[0.64, 2.72]"
4,1.713,3.2,0.83,"[0.83, 3.2]"
5,1.194,3.01,0.21,"[0.21, 3.01]"
6,1.067,1.39,0.53,"[0.53, 1.39]"
7,0.975,1.69,0.24,"[0.24, 1.69]"
8,1.698,3.86,0.31,"[0.31, 3.86]"
9,1.433,2.43,0.6,"[0.6, 2.43]"
