Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.478,0.72,0.0,"[0.0, 0.72]"
2,0.831,2.15,0.26,"[0.26, 2.15]"
3,0.632,1.8,0.0,"[0.0, 1.8]"
4,0.55,1.26,0.24,"[0.24, 1.26]"
5,0.785,0.87,0.7,"[0.7, 0.87]"
6,0.411,1.04,0.0,"[0.0, 1.04]"
7,0.728,1.11,0.2,"[0.2, 1.11]"
8,0.13,0.26,0.0,"[0.0, 0.26]"
