Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.545,2.61,0.31,"[0.31, 2.61]"
2,1.497,3.08,0.57,"[0.57, 3.08]"
3,1.452,3.81,0.32,"[0.32, 3.81]"
4,2.1,3.99,0.24,"[0.24, 3.99]"
5,0.64,0.7,0.58,"[0.58, 0.7]"
6,2.214,3.66,0.98,"[0.98, 3.66]"
7,4.547,10.87,2.03,"[2.03, 10.87]"
8,1.575,2.31,0.84,"[0.84, 2.31]"
