Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Ardrossan Community Development Trust,55.64145761,-4.81340722,KA22 8EH,S02002112
Arran Development Trust,55.57595032,-5.13699342,KA27 8AU,S02002097
Isle of Cumbrae Initiative Community Company,55.75188011,-4.93209957,KA28 0AJ,S02002128
West Kilbride Community Initiative Ltd,55.69570779,-4.85539206,KA23 9AW,S02002126
