Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,2.22,3.9,0.54,"[0.54, 3.9]"
3,0.363,0.79,0.0,"[0.0, 0.79]"
4,0.932,1.52,0.46,"[0.46, 1.52]"
5,1.093,2.69,0.18,"[0.18, 2.69]"
6,0.794,1.94,0.19,"[0.19, 1.94]"
7,1.076,2.41,0.29,"[0.29, 2.41]"
8,0.567,0.73,0.25,"[0.25, 0.73]"
9,0.0,0.0,0.0,"[0.0, 0.0]"
