Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,89.0,168.0,10.0,"[10.0, 168.0]"
3,40.333,85.0,12.0,"[12.0, 85.0]"
4,56.167,95.0,25.0,"[25.0, 95.0]"
5,57.5,81.0,27.0,"[27.0, 81.0]"
6,53.0,85.0,15.0,"[15.0, 85.0]"
7,50.2,85.0,14.0,"[14.0, 85.0]"
8,35.667,53.0,9.0,"[9.0, 53.0]"
9,15.0,15.0,15.0,"[15.0, 15.0]"
