Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,6.095,9.3,2.89,"[2.89, 9.3]"
3,3.683,4.14,3.15,"[3.15, 4.14]"
4,4.732,6.51,1.73,"[1.73, 6.51]"
5,5.445,9.95,0.9,"[0.9, 9.95]"
6,4.793,7.87,1.37,"[1.37, 7.87]"
7,3.702,7.23,2.02,"[2.02, 7.23]"
8,2.247,3.47,1.46,"[1.46, 3.47]"
9,1.48,1.48,1.48,"[1.48, 1.48]"
