Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.025,1.43,0.62,"[0.62, 1.43]"
3,1.402,2.16,0.6,"[0.6, 2.16]"
4,2.994,6.99,0.95,"[0.95, 6.99]"
5,1.561,2.44,1.0,"[1.0, 2.44]"
6,1.146,1.78,0.32,"[0.32, 1.78]"
7,1.355,1.48,1.23,"[1.23, 1.48]"
8,2.824,4.71,1.56,"[1.56, 4.71]"
9,2.13,2.9,1.36,"[1.36, 2.9]"
10,2.96,2.96,2.96,"[2.96, 2.96]"
