Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,22.5,36.0,9.0,"[9.0, 36.0]"
3,26.4,64.0,14.0,"[14.0, 64.0]"
4,49.6,106.0,14.0,"[14.0, 106.0]"
5,24.125,29.0,21.0,"[21.0, 29.0]"
6,30.857,80.0,17.0,"[17.0, 80.0]"
7,36.5,47.0,26.0,"[26.0, 47.0]"
8,43.6,73.0,22.0,"[22.0, 73.0]"
9,44.5,54.0,35.0,"[35.0, 54.0]"
10,34.0,34.0,34.0,"[34.0, 34.0]"
