Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Fauldhouse and Breich Valley Community Development Trust Ltd,55.82750243,-3.70841558,EH47 9HX,S02002478
Linlithgow Community Development Trust,55.97559178,-3.61138046,EH49 7AY,S02002508
Polbeth Community Hub SCIO,55.85699438,-3.55612403,EH55 8SD,S02002480
Stoneyburn and Bents Future Vision Group SCIO SC046760,55.84935033,-3.62741233,EH47 8BA,S02002479
West Calder and Harburn Community Development Trust Ltd,55.8490742,-3.57475196,EH55 8DZ,S02002480
Whitburn & District Community Development Trust,55.8661353,-3.68754666,EH47 0QD,S02002498
Winchburgh Community Development Trust,55.96187633,-3.45793323,EH52 6WP,S02002510
