Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.305,0.41,0.2,"[0.2, 0.41]"
3,0.472,0.72,0.2,"[0.2, 0.72]"
4,0.636,1.37,0.24,"[0.24, 1.37]"
5,0.519,0.8,0.0,"[0.0, 0.8]"
6,0.416,0.86,0.16,"[0.16, 0.86]"
7,0.0,0.0,0.0,"[0.0, 0.0]"
8,0.536,1.18,0.0,"[0.0, 1.18]"
9,0.195,0.39,0.0,"[0.0, 0.39]"
10,0.3,0.3,0.3,"[0.3, 0.3]"
