Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
"Stromness, Sandwick and Stenness",7,82,79,70.0,9.3,1.24
West Mainland,7,84,84,74.0,10.04,1.17
East Mainland,8,88,81,81.0,7.58,0.65
West Kirkwall,5,80,77,69.0,8.72,0.54
East Kirkwall,6,86,75,51.0,8.49,1.7
Isles,5,82,82,106.0,15.55,1.88
