Mean SIMD Decile,Businesses per 1000 people,max,min,Range
5,87.5,106.0,69.0,"[69.0, 106.0]"
6,51.0,51.0,51.0,"[51.0, 51.0]"
7,72.0,74.0,70.0,"[70.0, 74.0]"
8,81.0,81.0,81.0,"[81.0, 81.0]"
