Mean SIMD Decile,Local charities per 1000 people,max,min,Range
5,12.135,15.55,8.72,"[8.72, 15.55]"
6,8.49,8.49,8.49,"[8.49, 8.49]"
7,9.67,10.04,9.3,"[9.3, 10.04]"
8,7.58,7.58,7.58,"[7.58, 7.58]"
