Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
5,1.35,1.88,0.82,"[0.82, 1.88]"
6,1.7,1.7,1.7,"[1.7, 1.7]"
7,1.205,1.24,1.17,"[1.17, 1.24]"
8,0.65,0.65,0.65,"[0.65, 0.65]"
