Mean SIMD Decile,Businesses per 1000 people,max,min,Range
3,41.0,70.0,14.0,"[14.0, 70.0]"
4,14.0,14.0,14.0,"[14.0, 14.0]"
5,33.75,51.0,24.0,"[24.0, 51.0]"
6,53.5,90.0,24.0,"[24.0, 90.0]"
7,46.0,53.0,41.0,"[41.0, 53.0]"
8,34.333,39.0,27.0,"[27.0, 39.0]"
9,19.0,25.0,13.0,"[13.0, 25.0]"
