Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.681,1.39,0.0,"[0.0, 1.39]"
3,0.57,0.9,0.24,"[0.24, 0.9]"
4,0.703,1.46,0.18,"[0.18, 1.46]"
5,0.455,0.91,0.0,"[0.0, 0.91]"
6,0.285,0.4,0.21,"[0.21, 0.4]"
7,0.31,0.31,0.31,"[0.31, 0.31]"
8,0.145,0.58,0.0,"[0.0, 0.58]"
9,0.207,0.35,0.0,"[0.0, 0.35]"
