Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.206,2.26,0.42,"[0.42, 2.26]"
3,1.69,2.16,1.22,"[1.22, 2.16]"
4,2.14,4.58,0.9,"[0.9, 4.58]"
5,2.01,2.13,1.89,"[1.89, 2.13]"
6,1.69,3.2,0.63,"[0.63, 3.2]"
7,1.88,1.88,1.88,"[1.88, 1.88]"
8,2.09,3.3,0.61,"[0.61, 3.3]"
9,2.15,2.21,2.07,"[2.07, 2.21]"
