Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,22.5,42.0,10.0,"[10.0, 42.0]"
3,39.5,68.0,11.0,"[11.0, 68.0]"
4,57.333,134.0,19.0,"[19.0, 134.0]"
5,22.0,26.0,18.0,"[18.0, 26.0]"
6,36.75,61.0,13.0,"[13.0, 61.0]"
7,19.0,19.0,19.0,"[19.0, 19.0]"
8,37.25,75.0,21.0,"[21.0, 75.0]"
9,31.667,51.0,20.0,"[20.0, 51.0]"
