IZ2011_Code,Community,Total population,Mean SIMD Decile,Female life expectancy,Male life expectancy,geometry,Number of businesses,Number of charities,Number of community spaces,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
S02001445,Westend,5784,9,86,81,"POLYGON ((337121.99959999975 730634, 337143.99959999975 730616, 337170.0005999999 730603, 337209.99959999975 730591, 337281.99959999975 730591, 337364.99959999975 730605, 337467.99959999975 730622, 337562.99959999975 730632, 337637.9985999996 730633, 337692.99959999975 730620, 337761.9985999996 730601, 337826.99959999975 730589, 337893.99959999975 730577, 337965.99959999975 730571, 337999.99959999975 730564, 338112.99959999975 730553.0010000002, 338141.99959999975 730524.9989999998, 338167.99959999975 730456, 338197.78560000006 730383.7929999996, 338229.99959999975 730289, 338238.4135999996 730252.3350000009, 338246.59360000025 730215.7430000007, 338329.71360000037 730206.1040000003, 338357.3905999996 730200.2559999991, 338407.5296 730173.4619999994, 338457.00659999996 730137.5500000007, 338470.2775999997 730127.4930000007, 338502.0246000001 730103.5989999995, 338555.18960000016 730065.7320000008, 338560.9255999997 730061.7939999998, 338588.58160000015 730039.0299999993, 338617.99959999975 730020, 338644.4265999999 730000, 338647.68659999967 729997.5329999998, 338674.99959999975 729980, 338686.3855999997 729946.8230000008, 338708.99959999975 729897, 338703.3836000003 729897.2939999998, 338627.67760000005 729901.25, 338603.8805999998 729901.8120000008, 338603.25960000046 729868.6579999998, 338637.11060000025 729867.6679999996, 338636.2516000001 729863.4110000003, 338652.04959999956 729860.1980000008, 338674.0656000003 729853.9069999997, 338683.9265999999 729850.5979999993, 338703.02660000045 729855.8729999997, 338710.7586000003 729831.8890000004, 338720.06259999983 729823.6319999993, 338720.7176000001 729822.977, 338733.4815999996 729822.6180000007, 338738.2165999999 729810.8890000004, 338754.9645999996 729805.8880000003, 338820.9046 729786.5639999993, 338834.1556000002 729782.8080000002, 338836.99959999975 729790, 338847.44460000005 729791.6070000008, 338848.1355999997 729799.2190000005, 338847.7626 729816.9710000008, 338875.2876000004 729817.8159999996, 338879.6146 729817.9489999991, 338879.1956000002 729807.75, 338883.52660000045 729807.6099999994, 338887.7176000001 729809.2870000005, 338891.0225999998 729790.7420000006, 338901.74459999986 729783.4759999998, 338903.81960000005 729779.1520000007, 338900.99959999975 729768, 338906.71360000037 729766.9289999995, 338930.0675999997 729762.5500000007, 338930.31159999967 729749.3139999993, 338932.8925999999 729736.4110000003, 338933.7806000002 729732.8650000002, 338955.1286000004 729733.7970000003, 338956.6755999997 729733.8829999994, 338956.76159999985 729733.4539999999, 338960.62760000024 729734.1410000008, 338965.18259999994 729734.7420000006, 338965.99959999975 729735, 338969.66860000044 729729.2929999996, 339002.92459999956 729728.3159999996, 339010.4726 729726.6760000009, 339021.29760000017 729673.2970000003, 339018.1305999998 729672.7679999992, 339006.6966000004 729670.6439999994, 338980.2945999997 729662.5500000007, 338985.8256000001 729630.0580000002, 338987.3716000002 729619.3969999999, 338994.9556 729571.1180000007, 338997.6616000002 729570.8570000008, 339023.4265999999 729577.0629999992, 339027.8256000001 729577.9890000001, 339029.0005999999 729571.8049999997, 339032.54059999995 729557.8420000002, 339035.5426000003 729541.5409999993, 339047.50960000046 729543.5120000001, 339052.3465999998 729522.7919999994, 339007.44159999955 729513.0120000001, 339003.63659999985 729512.2870000005, 339006.74959999975 729492.0639999993, 339008.5565999998 729480.3269999996, 339011.2165999999 729463.0539999995, 339011.75659999996 729445.0969999991, 339011.99959999975 729437.0010000002, 338892.2196000004 729455.091, 338867.92360000033 729460.4670000002, 338783.2655999996 729486.3420000002, 338779.99959999975 729470.9989999998, 338753.99959999975 729406.0010000002, 338739.99959999975 729363, 338722.99959999975 729303, 338717.0005999999 729241, 338716.9216 729240.3805, 338697.7000000002 729240.8000000007, 338562.9000000004 729243.8000000007, 338500 729245.0999999996, 338232 729251.5999999996, 338000 729257.1999999993, 337422.0999999996 729270.4000000004, 337418.7000000002 729272.5999999996, 337418 729275.0999999996, 337403.5999999996 729277, 337312.5999999996 729275, 337000 729281.0999999996, 336991.2000000002 729279.9000000004, 336947.2000000002 729280.5999999996, 336898.7999999998 729284.6999999993, 336854.2999999998 729290.5999999996, 336842.5999999996 729290.3000000007, 336819.9162999997 729286.4913999997, 336802.0999999996 729283.5, 336728.5 729306.9000000004, 336716 729282.1999999993, 336692.74509999994 729277.5820000004, 336673.7000000002 729273.8000000007, 336648.7000000002 729275.8000000007, 336607.7000000002 729282.5, 336607.0999999996 729282.5999999996, 336532.7999999998 729294.8000000007, 336506.5999999996 729300.4000000004, 336500 729299.9000000004, 336484.7999999998 729299.8000000007, 336474.5 729293.1999999993, 336463.5 729289.5999999996, 336452.5 729290.0999999996, 336424.0999999996 729278.5, 336409.5 729276.4000000004, 336395.9000000004 729275.8000000007, 336358.2000000002 729280.0999999996, 336328.5999999996 729279.6999999993, 336323.5999999996 729278.6999999993, 336316.2000000002 729274.3000000007, 336310.5999999996 729273.5, 336277.7999999998 729276.6999999993, 336230.7000000002 729263.5999999996, 336220 729262.4000000004, 336182.0999999996 729279.4000000004, 336159.5 729282.6999999993, 336130 729297.5, 336117.4000000004 729310.5999999996, 336092.7999999998 729324.4000000004, 336027 729388.3000000007, 336016.2999999998 729396.0999999996, 336009.0999999996 729401.4000000004, 336000.0999999996 729403.6999999993, 335979.5999999996 729403.5999999996, 335963 729405.6999999993, 335953.5999999996 729409.9000000004, 335929.5999999996 729412.4000000004, 335920.4000000004 729411.9000000004, 335914.2000000002 729409.4000000004, 335909.4000000004 729404.1999999993, 335904.2000000002 729393.6999999993, 335897.2999999998 729379.9000000004, 335894.4000000004 729353.5999999996, 335888 729326.6999999993, 335885.4000000004 729323.4000000004, 335879.4000000004 729320.8000000007, 335869.2999999998 729322.1999999993, 335865.5999999996 729325.9000000004, 335864.2000000002 729330.0999999996, 335864.4000000004 729346.6999999993, 335862.0999999996 729362.4000000004, 335850.5999999996 729390.8000000007, 335851.0999999996 729392.5999999996, 335854.5 729405.4000000004, 335857.5999999996 729452.0999999996, 335854.0999999996 729465.0999999996, 335845.5 729482.1999999993, 335840.0999999996 729487.1999999993, 335835.0999999996 729489.0999999996, 335800 729490.0999999996, 335790.7000000002 729492.1999999993, 335784.2999999998 729495.9000000004, 335772.2000000002 729507.6999999993, 335742.5999999996 729521.1999999993, 335720 729520.9000000004, 335708.5 729522.6999999993, 335701.5999999996 729521.9000000004, 335693.7999999998 729518.1999999993, 335687 729520.1999999993, 335684 729525.1999999993, 335684.0999999996 729537.9000000004, 335681.5999999996 729549.4000000004, 335674.2000000002 729575.4000000004, 335668.4000000004 729589.0999999996, 335658.5999999996 729601.9000000004, 335640.2000000002 729620.4000000004, 335637.0999999996 729626.6999999993, 335588.7000000002 729695.9000000004, 335579.4000000004 729713.4000000004, 335569.2000000002 729738.1999999993, 335560.5999999996 729750.4000000004, 335558.0999999996 729755.5999999996, 335554.5 729763.1999999993, 335543 729778, 335527.2999999998 729810.1999999993, 335520.7999999998 729817.1999999993, 335516.7000000002 729827.6999999993, 335508.5999999996 729839.4000000004, 335498.4000000004 729864.9000000004, 335478.2999999998 729887.6999999993, 335462 729901.4000000004, 335457.5 729904.6999999993, 335443 729909.3000000007, 335409.5999999996 729934.1999999993, 335396.9000000004 729949.6999999993, 335391.9000000004 729960, 335387.2999999998 729977.1999999993, 335387.5 729990.4000000004, 335377.4000000004 730000, 335377.2999999998 730000.0999999996, 335355.7000000002 730010.1999999993, 335333 730032.1999999993, 335327.2999999998 730041.1999999993, 335313.5 730080.3000000007, 335310.9000000004 730081.5, 335306.2999999998 730080.8000000007, 335299.0999999996 730076.1999999993, 335286.7000000002 730074.4000000004, 335281 730071.6999999993, 335276.4000000004 730073.3000000007, 335270.4000000004 730078.4000000004, 335270.2999999998 730078.5999999996, 335269.2566999998 730083.6462999992, 335277.65160000045 730086.1229999997, 335298.56259999983 730091.625, 335326.31659999955 730098.4100000001, 335362.70660000015 730105.8110000007, 335385.5275999997 730110.4370000008, 335414.8225999996 730114.4460000005, 335441.54559999984 730116.4120000005, 335455.48259999976 730116.9930000007, 335480.53259999957 730120.2890000008, 335531.94959999993 730119.6290000007, 335566.88659999985 730118.9700000007, 335613.0306000002 730114.3560000006, 335649.28560000006 730109.0820000004, 335682.2456 730102.4900000002, 335721.40660000034 730093.2200000007, 335740.79559999984 730088.284, 335771.2145999996 730079.3090000004, 335802.62760000024 730068.8369999994, 335844.01460000034 730055.3739999998, 335895.37459999975 730036.9250000007, 335955.2105999999 730016.4810000006, 335990.6135999998 730002.0199999996, 336038.9815999996 729985.0659999996, 336072.8886000002 729972.5999999996, 336133.40859999973 729952.5500000007, 336141.54760000017 729983.5399999991, 336162.4796000002 730032.8359999992, 336262.31960000005 730019.1140000001, 336259.37260000035 730012.2070000004, 336253.44959999993 729974.9879999999, 336251.4715999998 729963.4519999996, 336284.6956000002 729942.2430000007, 336279.99959999975 729965, 336304.5306000002 729960.0999999996, 336406.5036000004 729909.9829999991, 336415.20359999966 729932.2569999993, 336432.0546000004 729931.1280000005, 336452.20359999966 729935.6490000002, 336448.0915999999 729952.9120000005, 336447.91860000044 729962.1879999992, 336453.3965999996 729992.3039999995, 336469.65160000045 729989.1329999994, 336469.99959999975 729966.9989999998, 336473.32459999993 729954.1830000002, 336497.8476 729952.9120000005, 336503.95160000026 729940.2620000001, 336515.43659999967 729884.9250000007, 336566.99959999975 729902.0010000002, 336566.9985999996 729902.0620000008, 336570.35360000003 729902.216, 336570.81960000005 729923.7719999999, 336570.6645999998 729951.3770000003, 336570.1755999997 729973.8719999995, 336612.38159999996 729959.7310000006, 336615.60360000003 729982.8259999994, 336617.99959999975 730000, 336620.2775999997 730019.5800000001, 336618.89859999996 730055.7939999998, 336600.9315999998 730059.8019999992, 336566.1815999998 730064.2139999997, 336526.74260000046 730068.6260000002, 336507.7126000002 730073.0380000006, 336492.0546000004 730080.6270000003, 336454.4835999999 730093.9949999992, 336437.9815999996 730096.6359999999, 336414.22860000003 730097.7750000004, 336403.2385999998 730096.2320000008, 336382.93460000027 730093.4059999995, 336286.92760000005 730102.7949999999, 336378.6836000001 730123.1610000003, 336437.7636000002 730133.273, 336426.56259999983 730136.875, 336426.2516000001 730146.5329999998, 336427.18560000043 730161.1740000006, 336428.7215999998 730187.1370000001, 336460.5016000001 730204.9790000003, 336478.2466000002 730213.6630000006, 336500.99959999975 730237, 336498.7916000001 730253.5590000004, 336448.3345999997 730258.4989999998, 336440.92360000033 730281.6129999999, 336436.8666000003 730287.2589999996, 336443.61760000046 730296.2709999997, 336409.7926000003 730299.8320000004, 336403.1695999997 730291.1410000008, 336401.7586000003 730287.4360000007, 336396.8185999999 730281.2599999998, 336393.4665999999 730276.8489999995, 336392.2315999996 730261.6750000007, 336390.7466000002 730246.6649999991, 336241.64859999996 730306.3589999992, 336240.5155999996 730306.8039999995, 336242.8925999999 730372.5549999997, 336269.2315999996 730446.6400000006, 336339.67260000017 730442.2170000002, 336379.8306 730436.9020000007, 336423.7725999998 730427.6569999997, 336565.7296000002 730381.7060000002, 336587.3036000002 730433.2029999997, 336605.95359999966 730472.3340000007, 336613.5656000003 730482.4859999996, 336619.5776000004 730490.5010000002, 336643.93560000043 730515.2750000004, 336688.2196000004 730544.3169999998, 336694.3036000002 730548.3059999999, 336767.7706000004 730573.8350000009, 336821.99959999975 730593, 336856.99959999975 730611, 336926.99959999975 730650, 336939.99959999975 730648, 336962.99959999975 730635, 336973.6216000002 730621.1089999992, 336977.99060000014 730637.8149999995, 336983.37260000035 730637.818, 336987.24060000014 730637.432, 337005.41559999995 730631.6309999991, 337010.4425999997 730627.7640000004, 337013.7165999999 730623.716, 337017.3685999997 730630.148, 337039.6956000002 730648.8809999991, 337077.99959999975 730665, 337081.51460000034 730665.7029999997, 337108.0005999999 730671, 337121.99959999975 730634))",140,12,2,24.0,2.07,0.35
S02001446,Perth Road,7509,6,78,70,"POLYGON ((339575.3345999997 730541.4820000008, 339589.05260000005 730488.7699999996, 339639.44460000005 730500.1359999999, 339641.8446000004 730500.3859999999, 339656.03160000034 730503.2819999997, 339647.35059999954 730533.6669999994, 339661.8055999996 730537.6889999993, 339676.5136000002 730489.0500000007, 339757.0466 730513.9979999997, 339761.2655999996 730507.8359999992, 339795.69159999955 730393.9179999996, 339807.99959999975 730340, 339811.99959999975 730318, 339789.99459999986 730312.3619999997, 339793.73560000025 730292.4069999997, 339796.05960000027 730285.1689999998, 339803.97860000003 730253.0360000003, 339793.8565999996 730251.1429999992, 339795.8326000003 730238.102, 339793.0246000001 730238.1060000006, 339799.8565999996 730197.8090000004, 339841.18960000016 730204.8609999996, 339856.99959999975 730163, 339874.99959999975 730145, 339984.9406000003 730086.6270000003, 339999.99959999975 730107, 340008.99959999975 730116, 340025.17459999956 730134.727, 340032.83860000037 730123.5069999993, 340051.13460000046 730107.8239999991, 340060.1966000004 730101.2170000002, 340065.6956000002 730086.9130000006, 340073.3735999996 730067.9519999996, 340059.04360000044 730049.3929999992, 340046.8666000003 730037.6600000001, 340066.4835999999 730023.0470000003, 340063.81460000016 730017.7949999999, 340063.9545999998 730017.6809999999, 340063.58160000015 730017.3359999992, 340049.3616000004 730004.1720000003, 340045.0306000002 730000, 340035.33660000004 729990.6630000006, 340036.1925999997 729988.2249999996, 340032.5546000004 729984.932, 340023.54360000044 729975.2239999995, 340019.86760000046 729978.0749999993, 340007.49959999975 729964.4350000005, 340010.99959999975 729960, 340014.5926000001 729957.159, 340002.2265999997 729946.9739999995, 340005.0206000004 729942.273, 339999.99959999975 729938.466, 339997.77660000045 729936.7799999993, 339989.6465999996 729930.8440000005, 339996.8826000001 729917.2620000001, 339966.3036000002 729892.1199999992, 339959.7265999997 729887.4649999999, 339954.8635999998 729885.8249999993, 339924.4526000004 729871.3990000002, 339896.7416000003 729862.3159999996, 339874.3156000003 729849.1720000003, 339816.11060000025 729832.6290000007, 339815.32359999977 729817.6769999992, 339806.68259999994 729811.3859999999, 339807.2806000002 729809.1300000008, 339807.3005999997 729809.1339999996, 339807.56060000043 729808.0690000001, 339808.50960000046 729804.1960000005, 339823.1255999999 729744.5350000001, 339839.24959999975 729746.6290000007, 339969.5445999997 729779.6620000005, 339999.99959999975 729809.2760000005, 340009.99959999975 729819, 340028.2246000003 729844.6119999997, 340047.1475999998 729873.0739999991, 340060.23259999976 729891.568, 340087.43759999983 729918.1989999991, 340097.99959999975 729928, 340109.99959999975 729935.9989999998, 340135.62459999975 729957.8589999992, 340153.70859999955 729940.8249999993, 340177.99959999975 729918, 340202.61060000025 729920.8399999999, 340229.99959999975 729924, 340289.31159999967 729962.8929999992, 340293.6355999997 729954.9199999999, 340298.7396 729949.2760000005, 340301.69460000005 729943.0950000007, 340305.4556 729945.5140000004, 340311.9025999997 729925.3579999991, 340308.14159999974 729921.3269999996, 340314.85759999976 729904.6640000008, 340312.1716 729903.8589999992, 340221.1116000004 729831.4130000006, 340215.2346000001 729827.3959999997, 340144.9916000003 729789.7009999994, 340142.85059999954 729790.1290000007, 340089.31159999967 729767.8550000004, 340060.69460000005 729757.7990000006, 340074.4176000003 729705.4930000007, 340078.60259999987 729695.852, 340093.99760000035 729702.7469999995, 340109.98560000025 729708.1699999999, 340130.97860000003 729715.2899999991, 340175.50960000046 729728.2479999997, 340245.1405999996 729767.1209999993, 340265.2746000001 729775.1190000009, 340284.99959999975 729786, 340307.99959999975 729799, 340334.20359999966 729818.1420000009, 340347.15660000034 729835.1490000002, 340368.2095999997 729863.4940000009, 340377.6906000003 729876.1469999999, 340386.1755999997 729903.7259999998, 340389.2056 729915.5449999999, 340399.2056 729942.5170000009, 340412.84059999976 729971.6109999996, 340422.05260000005 729989.0260000005, 340443.9145999998 729982.5470000003, 340453.4475999996 729979.7939999998, 340462.53560000006 729982.5470000003, 340484.3565999996 729990.4010000005, 340504.0536000002 729998.5830000006, 340512.8415999999 729988.8839999996, 340516.78259999957 729978.4979999997, 340518.29559999984 729968.2770000007, 340557.2655999996 729925.0470000003, 340573.9835999999 729904.0669999998, 340574.42819999997 729903.3901000004, 340517.2999999998 729854.0999999996, 340501.2999999998 729840.8000000007, 340500.5999999996 729840.3000000007, 340500 729839.8000000007, 340497.5295000002 729837.7412999999, 340462.96169999987 729808.9348000009, 340454.4000000004 729801.8000000007, 340314.0999999996 729709.5, 340202.0999999996 729635.3000000007, 340082.7000000002 729563.5999999996, 340024.4000000004 729532.3000000007, 339989 729513.5, 339946.2000000002 729494.4000000004, 339911 729479.4000000004, 339910.7999999998 729479.3000000007, 339832.5999999996 729448.6999999993, 339759.4000000004 729424.9000000004, 339500 729338.9000000004, 339237.5 729252.4000000004, 339211.88210000005 729245.1468000002, 339204.2999999998 729243, 339195.7000000002 729240.5999999996, 339162.5999999996 729234.6999999993, 339126.2999999998 729230.9000000004, 339116.4000000004 729230.5999999996, 339106.7999999998 729230.3000000007, 339066.91610000003 729232.1031, 339051.5 729232.8000000007, 339000.0999999996 729234.1999999993, 338874.25189999957 729236.9467999991, 338716.9216 729240.3805, 338717.0005999999 729241, 338722.99959999975 729303, 338739.99959999975 729363, 338753.99959999975 729406.0010000002, 338779.99959999975 729470.9989999998, 338783.2655999996 729486.3420000002, 338867.92360000033 729460.4670000002, 338892.2196000004 729455.091, 339011.99959999975 729437.0010000002, 339011.75659999996 729445.0969999991, 339011.2165999999 729463.0539999995, 339008.5565999998 729480.3269999996, 339006.74959999975 729492.0639999993, 339003.63659999985 729512.2870000005, 339007.44159999955 729513.0120000001, 339052.3465999998 729522.7919999994, 339047.50960000046 729543.5120000001, 339035.5426000003 729541.5409999993, 339032.54059999995 729557.8420000002, 339029.0005999999 729571.8049999997, 339027.8256000001 729577.9890000001, 339023.4265999999 729577.0629999992, 338997.6616000002 729570.8570000008, 338994.9556 729571.1180000007, 338987.3716000002 729619.3969999999, 338985.8256000001 729630.0580000002, 338980.2945999997 729662.5500000007, 339006.6966000004 729670.6439999994, 339018.1305999998 729672.7679999992, 339021.29760000017 729673.2970000003, 339010.4726 729726.6760000009, 339002.92459999956 729728.3159999996, 338969.66860000044 729729.2929999996, 338965.99959999975 729735, 338965.18259999994 729734.7420000006, 338960.62760000024 729734.1410000008, 338956.76159999985 729733.4539999999, 338956.6755999997 729733.8829999994, 338955.1286000004 729733.7970000003, 338933.7806000002 729732.8650000002, 338932.8925999999 729736.4110000003, 338930.31159999967 729749.3139999993, 338930.0675999997 729762.5500000007, 338906.71360000037 729766.9289999995, 338900.99959999975 729768, 338903.81960000005 729779.1520000007, 338901.74459999986 729783.4759999998, 338891.0225999998 729790.7420000006, 338887.7176000001 729809.2870000005, 338883.52660000045 729807.6099999994, 338879.1956000002 729807.75, 338879.6146 729817.9489999991, 338875.2876000004 729817.8159999996, 338847.7626 729816.9710000008, 338848.1355999997 729799.2190000005, 338847.44460000005 729791.6070000008, 338836.99959999975 729790, 338834.1556000002 729782.8080000002, 338820.9046 729786.5639999993, 338754.9645999996 729805.8880000003, 338738.2165999999 729810.8890000004, 338733.4815999996 729822.6180000007, 338720.7176000001 729822.977, 338720.06259999983 729823.6319999993, 338710.7586000003 729831.8890000004, 338703.02660000045 729855.8729999997, 338683.9265999999 729850.5979999993, 338674.0656000003 729853.9069999997, 338652.04959999956 729860.1980000008, 338636.2516000001 729863.4110000003, 338637.11060000025 729867.6679999996, 338603.25960000046 729868.6579999998, 338603.8805999998 729901.8120000008, 338627.67760000005 729901.25, 338703.3836000003 729897.2939999998, 338708.99959999975 729897, 338686.3855999997 729946.8230000008, 338674.99959999975 729980, 338679.9116000002 729987.9900000002, 338682.68259999994 730000, 338682.8415999999 730000.6899999995, 338684.82359999977 730014.7459999993, 338746.3716000002 730044.1999999993, 338755.26460000034 730047.4680000003, 338755.26460000034 730050.4149999991, 338758.0376000004 730054.5749999993, 338763.2385999998 730056.1359999999, 338771.21160000004 730057.5219999999, 338778.3185999999 730067.4030000009, 338783.54860000033 730072.3100000005, 338785.8046000004 730079.7679999992, 338789.3225999996 730087.4790000003, 338795.32859999966 730071.2359999996, 338809.4866000004 730074.102, 338814.36259999964 730060.7190000005, 338826.33160000015 730062.068, 338831.4966000002 730075.1339999996, 338830.2926000003 730084.2479999997, 338830.99959999975 730088.0010000002, 338831.1906000003 730094.5800000001, 338821.9935999997 730093.4049999993, 338821.5206000004 730097.8049999997, 338821.21360000037 730101.0299999993, 338820.4456000002 730111.4729999993, 338808.4696000004 730110.1899999995, 338802.3465999998 730123.5859999992, 338790.61060000025 730152.9289999995, 338797.11259999964 730159.2310000006, 338796.8055999996 730169.6730000004, 338796.3515999997 730175.7660000008, 338785.32359999977 730176.3900000006, 338784.40759999957 730194.2890000008, 338786.0706000002 730194.4169999994, 338776.46860000025 730217.5549999997, 338766.67760000005 730217.4030000009, 338764.0776000004 730217.0960000008, 338759.3755999999 730229.307, 338768.8256000001 730237.5099999998, 338775.1935999999 730247.0559999999, 338781.2586000003 730253.6119999997, 338806.15859999973 730267.6500000004, 338807.19460000005 730262.9110000003, 338813.0515999999 730261.3200000003, 338818.6206 730256.1850000005, 338824.7655999996 730254.7390000001, 338836.99959999975 730237, 338838.8786000004 730233.6209999993, 338838.6546 730229.5050000008, 338842.6925999997 730227.6469999999, 338843.98759999964 730232.3570000008, 338844.61560000014 730234.8849999998, 338854.99959999975 730232, 338866.9425999997 730230.1689999998, 338912.79760000017 730220.0050000008, 338912.1386000002 730227.1500000004, 338897.99959999975 730284, 338895.58660000004 730291.6569999997, 338928.32660000026 730300.7559999991, 338923.83160000015 730318.409, 338899.93259999994 730407.6710000001, 338905.06259999983 730406.9230000004, 338915.94859999977 730404.4580000006, 338938.1616000002 730402.0069999993, 338950.1886 730401.2210000008, 338950.7706000004 730411.1060000006, 338951.99959999975 730431.9989999998, 338951.99959999975 730437.8279999997, 338991.42260000017 730435.8849999998, 339023.31159999967 730433.6730000004, 339031.43759999983 730438.6410000008, 339036.84059999976 730447.7149999999, 339052.7605999997 730447.1180000007, 339060.32459999993 730446.3800000008, 339061.59360000025 730442.25, 339070.71860000025 730439.75, 339069.99959999975 730433, 339094.99959999975 730430, 339106.29959999956 730420.3039999995, 339112.7466000002 730414.9790000003, 339119.9456000002 730406.6559999995, 339128.6886 730403.2440000009, 339144.3706 730396.0460000001, 339161.49760000035 730388.1870000008, 339163.12260000035 730387.4399999995, 339175.3055999996 730381.8489999995, 339194.7536000004 730373.5280000009, 339199.1506000003 730371.5659999996, 339201.00260000024 730371.1710000001, 339206.22360000014 730370.0549999997, 339211.2895999998 730395.2449999992, 339176.00659999996 730410.7650000006, 339187.1815999998 730431.0859999992, 339210.15160000045 730414.8609999996, 339215.5076000001 730412.4529999997, 339273.49060000014 730446.5629999992, 339287.84559999965 730456.3230000008, 339307.39859999996 730463.0500000007, 339326.13659999985 730468.8509999998, 339329.75459999964 730469.9710000008, 339332.93960000016 730470.6870000008, 339338.77359999996 730431.5690000001, 339375.9595999997 730439.7890000008, 339384.56460000016 730388.9600000009, 339383.15359999985 730365.2329999991, 339383.0466 730353.1989999991, 339380.99959999975 730343, 339392.0246000001 730342.9719999991, 339392.42059999984 730334.6239999998, 339392.6146 730330.5140000004, 339394.9506000001 730308.5250000004, 339397.22559999954 730299.1009999998, 339407.13659999985 730298.9389999993, 339416.99959999975 730301, 339453.1496000001 730305.7129999995, 339469.48259999976 730306.2550000008, 339461.4746000003 730350.3039999995, 339486.59059999976 730353.5800000001, 339491.6836000001 730353.716, 339504.0016000001 730355.2550000008, 339508.6326000001 730355.8340000007, 339523.38960000034 730357.4149999991, 339545.92360000033 730359.8300000001, 339543.9255999997 730381.807, 339535.26860000007 730414.4399999995, 339488.1695999997 730403.7980000004, 339477.9665999999 730401.5260000005, 339469.90660000034 730433.0260000005, 339463.1425999999 730460.3489999995, 339460.2505999999 730470.7640000004, 339454.6666000001 730492.5899999999, 339565.99959999975 730514, 339555.37959999964 730554.8489999995, 339572.48560000025 730559.7080000006, 339598.54360000044 730567.1089999992, 339602.93460000027 730548.3190000001, 339592.29959999956 730545.2799999993, 339580.3996000001 730541.9879999999, 339575.3345999997 730541.4820000008))",450,24,3,60.0,3.2,0.4
