Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
4,2.63,2.63,2.63,"[2.63, 2.63]"
5,1.71,1.89,1.59,"[1.59, 1.89]"
6,2.17,5.61,0.62,"[0.62, 5.61]"
