Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Barra and South Uist,5,81.0,74.0,76.0,8.25,1.65
Benbecula and North Uist,6,85.0,80.0,89.0,12.51,2.78
Harris,6,84.0,78.0,73.0,16.84,5.61
South Lewis,5,83.0,76.0,50.0,11.52,1.59
Northwest Lewis,5,84.0,79.0,45.0,11.62,1.89
Broadbay,6,85.0,81.0,21.0,5.8,1.1
Stornoway West,4,81.0,74.0,117.0,14.81,2.63
Stornoway East,6,81.0,76.0,31.0,5.54,0.74
Point,6,88.0,81.0,29.0,7.44,0.62
