2011 scottish intermediate zone,Total
S02001687 : Barra and South Uist,230
S02001688 : Benbecula and North Uist,255
S02001692 : Broadbay,75
S02001689 : Harris,130
S02001691 : Northwest Lewis,165
S02001695 : Point,95
S02001690 : South Lewis,125
S02001694 : Stornoway East,85
S02001693 : Stornoway West,355
