Mean SIMD Decile,Local charities per 1000 people,max,min,Range
4,14.81,14.81,14.81,"[14.81, 14.81]"
5,10.463,11.62,8.25,"[8.25, 11.62]"
6,9.626,16.84,5.54,"[5.54, 16.84]"
