Mean SIMD Decile,Businesses per 1000 people,max,min,Range
4,117.0,117.0,117.0,"[117.0, 117.0]"
5,57.0,76.0,45.0,"[45.0, 76.0]"
6,48.6,89.0,21.0,"[21.0, 89.0]"
