Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.22,1.22,1.22,"[1.22, 1.22]"
2,1.363,3.05,0.33,"[0.33, 3.05]"
3,1.412,2.96,0.29,"[0.29, 2.96]"
4,1.914,5.36,0.29,"[0.29, 5.36]"
5,1.846,3.27,0.71,"[0.71, 3.27]"
6,4.063,11.13,1.14,"[1.14, 11.13]"
7,3.084,7.64,0.95,"[0.95, 7.64]"
8,3.648,6.22,1.43,"[1.43, 6.22]"
9,2.582,4.26,1.18,"[1.18, 4.26]"
10,3.711,6.24,1.76,"[1.76, 6.24]"
