Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,1.22,1.22,1.22,"[1.22, 1.22]"
2,0.459,1.49,0.0,"[0.0, 1.49]"
3,0.662,1.32,0.0,"[0.0, 1.32]"
4,0.574,1.26,0.0,"[0.0, 1.26]"
5,0.546,1.36,0.0,"[0.0, 1.36]"
6,0.921,2.3,0.0,"[0.0, 2.3]"
7,0.436,0.95,0.0,"[0.0, 0.95]"
8,0.648,1.38,0.0,"[0.0, 1.38]"
9,0.34,1.43,0.0,"[0.0, 1.43]"
10,0.344,1.17,0.0,"[0.0, 1.17]"
