Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,18.0,18.0,18.0,"[18.0, 18.0]"
2,25.125,98.0,9.0,"[9.0, 98.0]"
3,19.667,29.0,13.0,"[13.0, 29.0]"
4,29.75,73.0,15.0,"[15.0, 73.0]"
5,26.562,83.0,11.0,"[11.0, 83.0]"
6,47.842,173.0,10.0,"[10.0, 173.0]"
7,28.273,52.0,14.0,"[14.0, 52.0]"
8,37.5,57.0,17.0,"[17.0, 57.0]"
9,39.6,144.0,13.0,"[13.0, 144.0]"
10,28.571,62.0,18.0,"[18.0, 62.0]"
