Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,30.0,30.0,30.0,"[30.0, 30.0]"
3,49.5,76.0,23.0,"[23.0, 76.0]"
4,77.875,299.0,15.0,"[15.0, 299.0]"
5,63.769,103.0,18.0,"[18.0, 103.0]"
6,66.706,109.0,32.0,"[32.0, 109.0]"
7,49.6,75.0,22.0,"[22.0, 75.0]"
8,26.75,30.0,20.0,"[20.0, 30.0]"
10,18.0,18.0,18.0,"[18.0, 18.0]"
