Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.3,0.3,0.3,"[0.3, 0.3]"
3,0.23,0.46,0.0,"[0.0, 0.46]"
4,0.728,2.05,0.27,"[0.27, 2.05]"
5,0.595,2.0,0.0,"[0.0, 2.0]"
6,0.879,2.29,0.0,"[0.0, 2.29]"
7,0.362,0.86,0.0,"[0.0, 0.86]"
8,0.26,0.51,0.0,"[0.0, 0.51]"
10,0.44,0.44,0.44,"[0.44, 0.44]"
