Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,3.28,3.28,3.28,"[3.28, 3.28]"
3,3.47,4.87,2.07,"[2.07, 4.87]"
4,5.348,9.98,1.6,"[1.6, 9.98]"
5,7.71,20.31,0.97,"[0.97, 20.31]"
6,7.168,14.56,2.48,"[2.48, 14.56]"
7,5.311,9.93,2.06,"[2.06, 9.93]"
8,3.045,3.56,2.07,"[2.07, 3.56]"
10,4.43,4.43,4.43,"[4.43, 4.43]"
