Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,28.714,80.0,11.0,"[11.0, 80.0]"
2,22.0,60.0,9.0,"[9.0, 60.0]"
3,32.188,84.0,9.0,"[9.0, 84.0]"
4,29.062,95.0,10.0,"[10.0, 95.0]"
5,64.769,178.0,16.0,"[16.0, 178.0]"
6,124.2,947.0,15.0,"[15.0, 947.0]"
7,43.5,111.0,19.0,"[19.0, 111.0]"
8,28.8,58.0,17.0,"[17.0, 58.0]"
9,31.75,36.0,29.0,"[29.0, 36.0]"
10,52.0,52.0,52.0,"[52.0, 52.0]"
