Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.623,1.38,0.0,"[0.0, 1.38]"
2,0.453,1.75,0.0,"[0.0, 1.75]"
3,0.448,1.49,0.0,"[0.0, 1.49]"
4,0.201,0.58,0.0,"[0.0, 0.58]"
5,0.308,0.9,0.0,"[0.0, 0.9]"
6,0.151,0.43,0.0,"[0.0, 0.43]"
7,0.061,0.25,0.0,"[0.0, 0.25]"
8,0.163,0.47,0.0,"[0.0, 0.47]"
9,0.042,0.17,0.0,"[0.0, 0.17]"
10,0.0,0.0,0.0,"[0.0, 0.0]"
