Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.8,6.6,0.28,"[0.28, 6.6]"
2,1.082,2.29,0.19,"[0.19, 2.29]"
3,1.044,2.45,0.0,"[0.0, 2.45]"
4,1.178,2.3,0.0,"[0.0, 2.3]"
5,1.807,6.73,0.0,"[0.0, 6.73]"
6,2.498,8.54,0.19,"[0.19, 8.54]"
7,0.982,2.43,0.0,"[0.0, 2.43]"
8,1.479,2.56,0.37,"[0.37, 2.56]"
9,1.388,1.57,1.15,"[1.15, 1.57]"
10,1.55,1.55,1.55,"[1.55, 1.55]"
