Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Milton West,1,78.0,73.0,25.0,0.95,0.95
Milton East,1,77.0,68.0,11.0,0.63,0.31
Summerston Central and West,5,82.0,76.0,16.0,0.67,0.22
Summerston North,3,81.0,75.0,37.0,0.58,0.88
Maryhill East,2,78.0,70.0,10.0,0.58,0.0
Maryhill West,2,80.0,72.0,20.0,0.65,0.33
Wyndford,1,77.0,70.0,17.0,0.69,1.15
Kelvindale,9,85.0,83.0,29.0,1.15,0.0
North Kelvin,9,85.0,82.0,30.0,1.45,0.0
Kelvingrove and University,8,87.0,80.0,58.0,2.35,0.47
Hillhead,5,78.0,72.0,38.0,0.68,0.34
Glasgow Harbour and Partick South,6,83.0,79.0,34.0,0.19,0.0
Partick,4,81.0,74.0,23.0,0.75,0.0
Partickhill and Hyndland,9,81.0,82.0,32.0,1.38,0.17
Dowanhill,10,83.0,84.0,52.0,1.55,0.0
Kelvinside and Jordanhill,9,88.0,83.0,36.0,1.57,0.0
Broomhill,8,84.0,80.0,31.0,1.29,0.0
Victoria Park,8,88.0,83.0,17.0,0.37,0.37
Whiteinch,2,79.0,72.0,31.0,1.07,0.27
Scotstoun North and East,6,83.0,77.0,15.0,1.08,0.43
Scotstoun South and West,2,78.0,74.0,46.0,1.66,0.55
Yoker South,3,81.0,75.0,23.0,2.08,0.42
Yoker North,4,75.0,74.0,10.0,0.68,0.0
Knightswood West,3,76.0,75.0,10.0,0.4,0.0
Knightswood East,2,78.0,71.0,11.0,0.25,0.0
Knightswood Park West,3,78.0,71.0,9.0,0.89,0.3
Knightswood Park East,4,81.0,73.0,10.0,1.03,0.26
Anniesland East,7,82.0,76.0,28.0,0.94,0.23
Anniesland West,5,79.0,73.0,25.0,0.9,0.15
Blairdardie East,2,79.0,71.0,9.0,0.74,0.0
Blairdardie West,6,84.0,78.0,27.0,2.68,0.0
Drumchapel South,1,71.0,68.0,42.0,2.4,0.8
Drumchapel North,1,75.0,69.0,12.0,0.62,0.0
Drumry East,1,76.0,66.0,25.0,3.77,1.16
Drumry West,2,78.0,69.0,11.0,1.13,0.57
