Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,2.515,3.95,1.08,"[1.08, 3.95]"
2,0.738,1.07,0.44,"[0.44, 1.07]"
4,2.06,3.19,0.93,"[0.93, 3.19]"
5,1.155,1.3,1.01,"[1.01, 1.3]"
7,4.04,6.64,1.44,"[1.44, 6.64]"
8,2.13,3.89,1.0,"[1.0, 3.89]"
9,3.57,3.57,3.57,"[3.57, 3.57]"
