Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,49.5,79.0,20.0,"[20.0, 79.0]"
2,12.4,19.0,6.0,"[6.0, 19.0]"
4,36.0,39.0,33.0,"[33.0, 39.0]"
5,21.0,29.0,13.0,"[13.0, 29.0]"
7,33.0,47.0,19.0,"[19.0, 47.0]"
8,25.0,28.0,22.0,"[22.0, 28.0]"
9,62.0,62.0,62.0,"[62.0, 62.0]"
