Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,2.1,3.12,1.08,"[1.08, 3.12]"
2,0.584,0.88,0.32,"[0.32, 0.88]"
4,0.655,0.93,0.38,"[0.38, 0.93]"
5,0.51,0.52,0.5,"[0.5, 0.52]"
7,0.24,0.48,0.0,"[0.0, 0.48]"
8,0.223,0.67,0.0,"[0.0, 0.67]"
9,1.98,1.98,1.98,"[1.98, 1.98]"
